nbins,sigma,n_iters,alpha,failures,fps
4,1.0,20,0.001,43,1350.9918815766464
4,1.0,20,0.01,41,1359.2090261379471
4,1.0,20,0.1,73,1400.1832317539604
4,1.0,20,0.2,86,1613.908104648218
4,2.0,1,0.0,85,2251.5276773943806
4,2.0,1,0.0001,84,2645.799556197029
4,2.0,1,0.001,84,2760.4806032974116
4,2.0,1,0.01,92,2446.949621644607
4,2.0,1,0.1,114,2850.8280969063967
4,2.0,1,0.2,121,2952.3042929266735
4,2.0,10,0.0,56,1479.0900394058938
4,2.0,10,0.0001,54,1512.815169338983
4,2.0,10,0.001,52,1488.634654827231
4,2.0,10,0.01,61,1589.6415688570798
4,2.0,10,0.1,81,1819.0494000274703
4,2.0,10,0.2,101,1897.323338064611
4,2.0,20,0.0,58,1442.3585096281374
4,2.0,20,0.0001,55,1452.8470314211968
4,2.0,20,0.001,53,1506.8330831429057
4,2.0,20,0.01,63,1509.7724948949858
4,2.0,20,0.1,80,1798.8677668758883
4,2.0,20,0.2,102,1816.9353854884969
4,3.0,1,0.0,84,2976.5074065093145
4,3.0,1,0.0001,85,2833.371925877324
4,3.0,1,0.001,91,2786.8022682827
4,3.0,1,0.01,92,3069.5931731267583
4,3.0,1,0.1,114,2878.4303204967828
4,3.0,1,0.2,122,2853.656070080332
4,3.0,10,0.0,62,1247.3971680686261
4,3.0,10,0.0001,60,1139.5807794110679
4,3.0,10,0.001,57,1246.9364029226324
4,3.0,10,0.01,63,1335.3002748310255
4,3.0,10,0.1,82,1434.6906015723566
4,3.0,10,0.2,103,1583.1081580647651
4,3.0,20,0.0,70,1269.6386995318383
4,3.0,20,0.0001,63,1305.146676352751
4,3.0,20,0.001,62,1492.2351923765807
4,3.0,20,0.01,65,1287.1616492404655
4,3.0,20,0.1,80,1692.4011984529677
4,3.0,20,0.2,104,1880.5810311775497
8,0.1,1,0.0,145,2917.581493000238
8,0.1,1,0.0001,148,2969.951079038866
8,0.1,1,0.001,147,3236.6913190727005
8,0.1,1,0.01,147,3435.9849202810733
8,0.1,1,0.1,154,3052.21340765802
8,0.1,1,0.2,152,2337.1045358673023
8,0.1,10,0.0,140,2534.9920165692865
